Dimensao,1 – Desenvolvimento in house,2 – Ferramentas de BI,3 – Prodam,4 – Ateliê de software,5 – Outra software house
Baixo custo,5,3,2,1,4
Rapidez de entrega,1,4,2,3,1
Qualidade,4,3,2,4,3
Escala,1,5,1,4,3
Autonomia,5,2,3,4,2
Escopo,3,3,4,4,3
Adaptatividade,5,4,1,5,2
Agilidade para contratação,5,4,3,2,1
